Name,D (Mpc),D_err (Mpc),q (b/a),Incl (deg),Mbar,M_gas,M*(g-r),g-r,Rh,Mh,Mh_err,M_Re,Me_gmr,Me_gmrerr,M_R235,M235_gmr,M235_gmrerr,M1kpc_gmr,M1kpc_gmrerr,Rho_h,Rho_e
GASS24168,111.4,5.57,0.7146,45.557883680925556,54283524561.65398,3682375188.653534,50601149373.00044,0.9100000000000001,3.7255849627558266,25300574686.50022,5956331488.182468,4.286756030954155,28185764856.3471,6611066651.543736,11.174072187248663,49213721287.160286,17950428537.22488,9198678994.16575,2397066162.0631003,963.6790203524519,838.4076032908888
IC2574,4.0,0.8,0.7713,40.51116979216276,1884390406.7241085,1862000000.0,22390406.72410852,-0.002000000000000668,-,-,-,-,-,-,-,-,-,249864.39981753883,178849.41059259154,-,-
NGC3726,18.0,1.8,0.3604,72.18190943355634,25558361597.455536,0.0,25558361597.455536,0.5719999999999992,5.39802814175353,12779180798.72777,4564319416.518914,7.1033289708026,17395904213.35151,6180070519.996504,13.333358497342932,25194684886.27497,9191145959.692635,1524884493.4189553,561219760.0167515,174.1724921293179,102.87669185669468
UGC06983,15.68,3.92,0.645,51.2551343071332,5272967568.804008,4153799999.9999995,1119167568.8040082,0.4070000000000018,3.070216917560247,559583784.4020041,490554473.49975175,4.9789877540089575,827978930.5223744,726336906.746637,5.415922949768712,868736002.2795379,763820486.2638887,116041119.8058088,110513371.48728709,23.717048082435515,12.899471287532172
GASS23450,203.9,10.195,0.2483,81.3624372574593,117072786901.76607,1276815175.098276,115795971726.66779,0.8709999999999987,2.485667735665766,57897985863.33389,10541799147.246935,2.7555074958769787,60958507118.683266,11016403547.576027,10.432287328195995,106582808147.30473,24144799921.95473,30876333108.601063,5691444935.453182,838.9682784687121,682.9835799955184
NGC5204,3.2,0.6400000000000001,0.3721,71.32188173365098,391219428.79416245,279336724.0956436,111882704.69851886,0.3470000000000013,0.5306071637595571,55941352.34925943,39257495.95225608,0.6325753401298547,66266656.497960225,47294526.22598809,1.3831894666358298,106562334.35850964,75940486.43324299,90825455.9947649,64562100.9121889,44.08661737193566,31.727082183881006
UGC10546,20.395450626425806,2.039545062642581,0.3849,70.3885422412483,1904344914.6496563,0.0,1904344914.6496563,0.45099999999999874,2.393031658019218,952172457.3248283,347269132.17400855,3.106323486447435,1360745114.3299932,524200362.8815282,5.185443771428572,1836015151.2996228,769651640.5030077,397056674.0862124,143404633.39536342,49.94987282025218,27.710121721215568
UGC06446,10.22,2.555,0.1202,0,2087829774.5154777,1930599999.9999998,157229774.51547796,0.27699999999999925,0.9187768647947434,78614887.25773898,68899664.83305836,1.690728581432605,115004592.9216258,122971952.2641378,1.7947064604456842,119224394.09198631,107058521.25192963,84228363.73941149,74030368.72300848,17.119696477318602,6.964292595041792
GASS29555,135.3,6.765000000000001,0.278,78.6341916448464,45407892249.596725,2432921160.2491264,42974971089.3476,0.7800000000000011,2.499737634898903,21487485544.6738,3889060436.6950474,3.1922574042494136,24318020222.072144,4380908481.227428,8.486647167814581,34737140734.69383,7683592320.887786,10494883432.186516,1932530055.647517,393.92194602591,258.5579528931187
GASS12460,211.6,10.58,0.6167,53.45898626776705,129054816571.16168,2168343266.4774714,126886473304.6842,0.895999999999999,1.5798805732754382,63443236652.3421,12867258337.539906,6.643186200500193,101933802718.23363,19541761466.5054,17.896809692471123,118905782278.77403,28549051900.211056,47113405838.54813,10330960284.867325,6330.543866287116,571.5616104140798
LSBF568-V1,80.0,20.0,0.2566,80.556537258349,2925011594.934686,1932537970.4440413,992473624.4906449,0.3910000000000018,2.744259732397279,496236812.2453224,451468045.9148088,3.5894477468351544,597936669.4593631,555396753.7459711,3.423340913142856,576696873.63963,523370306.6088145,188041121.2457448,168627797.12269378,11.932797611695984,8.338681433640327
